date,subscribers,views
2024-06-15,17231324,3734183573
2024-06-16,17233061,3734257910
2024-06-17,17221757,3734241829
2024-06-18,17231733,3734676168
2024-06-19,17233002,3734414552
2024-06-20,17229733,3733989112
2024-06-21,17227025,3734880311
2024-06-22,17233626,3733980324
2024-06-23,17234051,3734148262
2024-06-24,17222560,3734339222
2024-06-25,17226402,3734201764
2024-06-26,17230670,3733881877
2024-06-27,17231776,3734306081
2024-06-28,17224201,3733997666
2024-06-29,17224530,3734597268
2024-06-30,17228968,3733910218
2024-07-01,17227543,3734565901
2024-07-02,17222238,3734195491
2024-07-03,17218933,3734335443
2024-07-04,17223954,3734738321
2024-07-05,17235629,3733979926
2024-07-06,17233073,3734361265
2024-07-07,17234848,3734165708
2024-07-08,17225382,3733803462
2024-07-09,17233774,3734487773
2024-07-10,17226554,3734159093
2024-07-11,17231552,3734394299
2024-07-12,17236193,3733839030
2024-07-13,17231941,3733910705
2024-07-14,17234333,3734672110
2024-07-15,17228895,3734296689
2024-07-16,17219497,3734382820
2024-07-17,17233026,3734366479
2024-07-18,17238361,3734500909
2024-07-19,17230807,3734661967
2024-07-20,17222261,3734655514
2024-07-21,17229513,3735081166
2024-07-22,17220413,3734368625
2024-07-23,17235246,3734434425
2024-07-24,17232417,3734363848
2024-07-25,17226543,3734731933
2024-07-26,17223686,3734373911
2024-07-27,17237190,3734694977
2024-07-28,17227279,3733866813
2024-07-29,17236112,3734720633
2024-07-30,17237285,3734688988
2024-07-31,17230304,3734592285
2024-08-01,17241233,3734872209
2024-08-02,17223793,3734887042
2024-08-03,17226185,3734929829
2024-08-04,17246454,3733793175
2024-08-05,17237702,3734796736
2024-08-06,17227612,3734298668
2024-08-07,17231615,3734376866
2024-08-08,17227557,3734650437
2024-08-09,17239814,3734754797
2024-08-10,17226054,3735231490
2024-08-11,17219155,3734857432
2024-08-12,17222218,3734161157
2024-08-13,17233776,3734379194
2024-08-14,17241977,3734300671
2024-08-15,17234776,3734496595
2024-08-16,17237223,3734276533
2024-08-17,17237980,3734868346
2024-08-18,17222132,3734507731
2024-08-19,17219040,3734903216
2024-08-20,17217206,3734813411
2024-08-21,17235708,3734886971
2024-08-22,17220634,3735070995
2024-08-23,17232665,3735352607
2024-08-24,17234329,3734530717
2024-08-25,17232844,3734359176
2024-08-26,17233671,3734537511
2024-08-27,17234784,3734247431
2024-08-28,17225207,3735237139
2024-08-29,17236221,3734955585
2024-08-30,17241333,3734568894
2024-08-31,17235441,3734743174
2024-09-01,17232727,3734267840
2024-09-02,17234512,3734708018
2024-09-03,17229065,3734718370
2024-09-04,17230942,3734250086
2024-09-05,17225972,3734327788
2024-09-06,17240800,3734721692
2024-09-07,17247842,3734914034
2024-09-08,17244227,3734576511
2024-09-09,17235648,3735102514
2024-09-10,17226295,3734755085
2024-09-11,17234930,3734550324
2024-09-12,17237006,3735090891
2024-09-13,17238134,3735096421
2024-09-14,17231922,3734656894
2024-09-15,17236576,3735287801
2024-09-16,17241037,3734779406
2024-09-17,17229251,3734481371
2024-09-18,17240094,3733751977
2024-09-19,17230353,3734948700
2024-09-20,17234749,3735381886
2024-09-21,17235813,3735415387
2024-09-22,17231996,3734560335
